type,indicator,classification,notes
domain,espace-nouvellecartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espace-assurancemaladie.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartevital-sante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelie-identification.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-secure-sante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,yuio7.xyz,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-infosante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vital-cpam.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verfication-edf.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,suivi-support.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securite-cartvit.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-tacarte.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-cartevits.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-carte-2022.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,nikemnlth.art,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mytokens-collab.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-sante-publique.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,hostingple.sk,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cpam-ameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cmu-renouv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartevital22.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartevit-renouvel.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,banxo-mescompte-connect.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assures-cartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assistance-moncompte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-secure.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-amlie.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
